"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 31 22:42:03 UTC 2024","Tue Dec 31 22:42:03 UTC 2024","0","","test_HomePage","TestHomePage","","","test_enter_product_into_search_box",""
"passed","Tue Dec 31 22:42:27 UTC 2024","Tue Dec 31 22:42:33 UTC 2024","6716","","test_LoginPage","TestLogin","","","test_login_with_invalid_password",""
"passed","Tue Dec 31 22:42:06 UTC 2024","Tue Dec 31 22:42:13 UTC 2024","6949","","test_LoginPage","TestLogin","","","test_login_with_valid_credentials",""
"passed","Tue Dec 31 22:42:17 UTC 2024","Tue Dec 31 22:42:23 UTC 2024","6665","","test_LoginPage","TestLogin","","","test_login_with_invalid_email",""
"passed","Tue Dec 31 22:42:37 UTC 2024","Tue Dec 31 22:42:52 UTC 2024","14409","","test_LoginPageDDT","TestLogin","","","test_login_ddt",""
